raw descriptor,level_3,level_2,level_1,type,primary taste,combined
abras,abrasive,high_tannin,tannin,nonaroma,bitter,high_tannin
acacia,acacia,flowery,flower,aroma,,acacia
acacia_flower,acacia,flowery,flower,aroma,,acacia
aciddriven,acid_driven,high_acid,acid,nonaroma,acid,high_acid
aggress,aggressive,high_acid,acid,nonaroma,acid,high_acid
airi,airy,light_bodied,body,nonaroma,weight,light_bodied
allspic,allspice,baking_spices,spice,aroma,,allspice
almond,almond,nutty,nutty,aroma,,almond
almond_past,almond,nutty,nutty,aroma,,almond
marzipan,almond,nutty,nutty,aroma,,almond
almond_skin,almond,nutty,nutty,aroma,,almond
alpin_herb,alpine_herbs,fresh_herbs,vegetal,aroma,,alpine_herbs
american_oak,american_oak,resinous,woody,aroma,,american_oak
angular,angular,high_tannin,tannin,nonaroma,bitter,high_tannin
anis,anise,baking_spices,spice,aroma,,anise
anisett,anise,baking_spices,spice,aroma,,anise
appl,apple,tree_fruit,fruit,aroma,,apple
appl_cider,apple,tree_fruit,fruit,aroma,,apple
appl_flesh,apple,tree_fruit,fruit,aroma,,apple
appl_skin,apple,tree_fruit,fruit,aroma,,apple
appli,apple,tree_fruit,fruit,aroma,,apple
golden_appl,apple,tree_fruit,fruit,aroma,,apple
golden_delici,apple,tree_fruit,fruit,aroma,,apple
gravenstein_appl,apple,tree_fruit,fruit,aroma,,apple
green_appl,apple,tree_fruit,fruit,aroma,,apple
greenappl,apple,tree_fruit,fruit,aroma,,apple
press_appl,apple,tree_fruit,fruit,aroma,,apple
yellow_appl,apple,tree_fruit,fruit,aroma,,apple
appl_blossom,apple_blossom,flowery,flower,aroma,,apple_blossom
appl_pie,apple_pie,biscuit,caramel,aroma,,apple_pie
applesauc,apple_sauce,tree_fruit,fruit,aroma,,apple_sauce
apricot,apricot,stone_fruit,fruit,aroma,,apricot
ash,ash,toasted,woody,aroma,,ash
asian_spice,asian_spice,baking_spices,spice,aroma,,asian_spice
asparagus,asparagus,vegetable,vegetal,aroma,,asparagus
asphalt,asphalt,petroleum,earth_inorganic,aroma,,asphalt
assert,assertive,high_acid,acid,nonaroma,acid,high_acid
astring,astringent,high_tannin,tannin,nonaroma,bitter,high_tannin
auster,austere,high_tannin,tannin,nonaroma,bitter,high_tannin
bacon,bacon,bacon,brettanomyces,aroma,,bacon
bacon_fat,bacon,bacon,brettanomyces,aroma,,bacon
bake,baked,high_alcohol,alcohol,nonaroma,coolness,high_alcohol
bake_appl,baked_apple,tree_fruit,fruit,aroma,,baked_apple
bake_bread,baked_bread,yeasty,microbial,aroma,,baked_bread
bake_spice,baking_spices,baking_spices,spice,aroma,,baking_spices
bakingspic,baking_spices,baking_spices,spice,aroma,,baking_spices
cinnamon_nutmeg,baking_spices,baking_spices,spice,aroma,,baking_spices
dust_cinnamon,baking_spices,baking_spices,spice,aroma,,baking_spices
balsam,balsamic,volatile_acidity,acid,nonaroma,,balsamic
balsam_note,balsamic,volatile_acidity,acid,nonaroma,,balsamic
banana,banana,tropical_fruit,fruit,aroma,,banana
bandaid,band-aid,medicinal,brettanomyces,aroma,,band-aid
barbecu,barbecue,meat,sulfides,aroma,,barbecue
bark,bark,resinous,woody,aroma,,bark
barnyard,barnyard,barnyard,brettanomyces,aroma,,barnyard
basil,basil,fresh_herbs,vegetal,aroma,,basil
bay_leaf,bay_leaf,fresh_herbs,vegetal,aroma,,bay_leaf
beef_char,beef,meat,sulfides,aroma,,beef
beef_jerki,beef_jerky,meat,sulfides,aroma,,beef_jerky
beefi,beefy,high_tannin,tannin,nonaroma,bitter,high_tannin
beeswax,beeswax,honey,caramel,aroma,,beeswax
beet,beet,vegetable,vegetal,aroma,,beet
beetroot,beetroot,vegetable,vegetal,aroma,,beetroot
bell_pepper,bell_pepper,vegetable,vegetal,aroma,,bell_pepper
bergamot,bergamot,citrus_fruit,fruit,aroma,,bergamot
berri,berry,red_fruit,fruit,aroma,,berry
bigbon,big-boned,high_tannin,tannin,nonaroma,bitter,high_tannin
bite,bite,high_acid,acid,nonaroma,acid,high_acid
bitter,bitter,high_tannin,tannin,nonaroma,bitter,high_tannin
bitter_almond,bitter_almond,nutty,nutty,aroma,,bitter_almond
bittersweet,bittersweet,high_tannin,tannin,nonaroma,bitter,high_tannin
black_cherri,black_cherry,red_fruit,fruit,aroma,,black_cherry
blackcherri,black_cherry,red_fruit,fruit,aroma,,black_cherry
black_currant,black_currant,dark_fruit,fruit,aroma,,black_currant
blackfruit,black_fruit,dark_fruit,fruit,aroma,,black_fruit
blackskin_fruit,black_fruit,dark_fruit,fruit,aroma,,black_fruit
black_pepper,black_pepper,pepper,spice,aroma,piquant,pepper
black_peppercorn,black_pepper,pepper,spice,aroma,piquant,pepper
blackpepp,black_pepper,pepper,spice,aroma,piquant,pepper
black_tea,black_tea,dried_herbs,vegetal,aroma,,black_tea
blackberri,blackberry,dark_fruit,fruit,aroma,,blackberry
blackskin_berri,blackberry,dark_fruit,fruit,aroma,,blackberry
blackberri_jam,blackberry_jam,dark_fruit,fruit,aroma,,blackberry_jam
blackberri_cassi,blackberry-cassis,dark_fruit,fruit,aroma,,blackberry-cassis
blackcurr,blackcurrant,dark_fruit,fruit,aroma,,blackcurrant
bland,bland,low_concentration,concentration,nonaroma,,bland
blood_orang,blood_orange,citrus_fruit,fruit,aroma,,blood_orange
blossomi,blossom,flowery,flower,aroma,,blossom
blue,blue,color,visual,nonaroma,,blue
blue_black,blue_black,color,visual,nonaroma,,blue_black
blue_flower,blue_flower,flowery,flower,aroma,,blue_flower
bluefruit,blue_fruit,dark_fruit,fruit,aroma,,blue_fruit
blueberri,blueberry,dark_fruit,fruit,aroma,,blueberry
blueberri_pie,blueberry_pie,biscuit,caramel,aroma,,blueberry_pie
big_bold,bold,full_bodied,body,nonaroma,weight,full_bodied
bone_dri,bone_dry,bone_dry,sweetness,nonaroma,sweet,bone_dry
bonedri,bone_dry,bone_dry,sweetness,nonaroma,sweet,bone_dry
botryti,botrytis,honey,caramel,aroma,,botrytis
boysenberri,boysenberry,red_fruit,fruit,aroma,,boysenberry
brambl,bramble,dark_fruit,fruit,aroma,,bramble
brambl_berri,bramble,dark_fruit,fruit,aroma,,bramble
brawni,brawny,high_tannin,tannin,nonaroma,bitter,high_tannin
bread,bread,yeasty,microbial,aroma,,bread
bread_crust,bread_crust,yeasty,microbial,aroma,,bread_crust
brick,brick,color,visual,nonaroma,,brick
bright,bright,high_acid,acid,nonaroma,acid,high_acid
brighter,bright,high_acid,acid,nonaroma,acid,high_acid
brilliant,brilliant,color_intensity,visual,nonaroma,,brilliant
brine,brine,salinity,salinity,aroma,salt,salinity
brini,brine,salinity,salinity,aroma,salt,salinity
brioch,brioche,yeasty,microbial,aroma,,brioche
brisk,brisk,high_acid,acid,nonaroma,acid,high_acid
brown,brown,color,visual,nonaroma,,brown
brown_butter,brown_butter,caramel,caramel,aroma,,brown_butter
brown_spice,brown_spice,baking_spices,spice,aroma,,brown_spice
brown_sugar,brown_sugar,caramel,caramel,aroma,,brown_sugar
bubbl_gum,bubble_gum,tropical_fruit,fruit,aroma,,bubble_gum
bubblegum,bubblegum,tropical_fruit,fruit,aroma,,bubblegum
bulki,bulky,high_tannin,tannin,nonaroma,bitter,high_tannin
bullish,bullish,full_bodied,body,nonaroma,weight,full_bodied
buoy,buoyant,high_acid,acid,nonaroma,acid,high_acid
buoyant,buoyant,high_acid,acid,nonaroma,acid,high_acid
burn,burnt,toasted,woody,aroma,,burnt
burnt,burnt,toasted,woody,aroma,,burnt
burnt_toast,burnt_toast,toasted,woody,aroma,,burnt_toast
butter,butter,lactic,microbial,aroma,fat,lactic
butteri,butter,lactic,microbial,aroma,fat,lactic
butter_nut,butter_nut,nutty,nutty,aroma,,butter_nut
butter_popcorn,butter_popcorn,caramel,caramel,aroma,,butter_popcorn
buttercream,buttercream,caramel,caramel,aroma,,buttercream
butterscotch,butterscotch,caramel,caramel,aroma,,butterscotch
butter_toast,buttery_toast,toasted,woody,aroma,,buttery_toast
cake,cake,biscuit,caramel,aroma,,cake
cake_spice,cake_spice,baking_spices,spice,aroma,,cake_spice
campfir,campfire,toasted,woody,aroma,,campfire
camphor,camphor,oil,earth_inorganic,aroma,,camphor
candl_wax,candle_wax,oil,earth_inorganic,aroma,,candle_wax
candi,candy,tropical_fruit,fruit,aroma,,candy
confect,candy,tropical_fruit,fruit,aroma,,candy
confectionari_note,candy,tropical_fruit,fruit,aroma,,candy
caramel,caramel,caramel,caramel,aroma,,caramel
caramel_sugar,caramel,caramel,caramel,aroma,,caramel
cardamom,cardamom,baking_spices,spice,aroma,,cardamom
carob,carob,chocolate,caramel,aroma,,carob
cashew,cashew,nutty,nutty,aroma,,cashew
cassi,cassis,dark_fruit,fruit,aroma,,cassis
cantaloup,cataloupe,melon,fruit,aroma,,cataloupe
cedar,cedar,resinous,woody,aroma,,cedar
cedari,cedar,resinous,woody,aroma,,cedar
celeri,celery,vegetable,vegetal,aroma,,celery
cement,cement,rocks,earth_inorganic,aroma,,cement
chalk,chalk,rocks,earth_inorganic,aroma,,chalk
chalk_soil,chalk,rocks,earth_inorganic,aroma,,chalk
chalki,chalk,rocks,earth_inorganic,aroma,,chalk
chamomil,chamomile,flowery,flower,aroma,,chamomile
charcoal,charcoal,graphite,earth_inorganic,aroma,,charcoal
char_wood,charred_wood,toasted,woody,aroma,,charred_wood
chees,cheese,lactic,microbial,aroma,,cheese
cheesi,cheese,lactic,microbial,aroma,,cheese
chemic,chemical,petroleum,earth_inorganic,aroma,,chemical
bing_cherri,cherry,red_fruit,fruit,aroma,,cherry
cherri,cherry,red_fruit,fruit,aroma,,cherry
cherryberri,cherry,red_fruit,fruit,aroma,,cherry
morello_cherri,cherry,red_fruit,fruit,aroma,,cherry
redcherri,cherry,red_fruit,fruit,aroma,,cherry
sour_cherri,cherry,red_fruit,fruit,aroma,,cherry
wild_cherri,cherry,red_fruit,fruit,aroma,,cherry
cherri_liqueur,cherry_liqueur,red_fruit,fruit,aroma,,cherry_liqueur
pie_cherri,cherry_pie,biscuit,caramel,aroma,,cherry_pie
bitter_chocol,chocolate,chocolate,caramel,aroma,,chocolate
bittersweet_chocol,chocolate,chocolate,caramel,aroma,,chocolate
chocol,chocolate,chocolate,caramel,aroma,,chocolate
chocolatey,chocolate,chocolate,caramel,aroma,,chocolate
chocolati,chocolate,chocolate,caramel,aroma,,chocolate
choppi,choppy,high_tannin,tannin,nonaroma,bitter,high_tannin
blocki,chunky,full_bodied,body,nonaroma,weight,full_bodied
chunki,chunky,full_bodied,body,nonaroma,weight,full_bodied
solid_chunki,chunky,full_bodied,body,nonaroma,weight,full_bodied
cider,cider,tree_fruit,fruit,aroma,,cider
cigar,cigar,toasted,woody,aroma,,cigar
cigar_box,cigar_box,toasted,woody,aroma,,cigar_box
cinnamon,cinnamon,baking_spices,spice,aroma,,cinnamon
citric,citrus,citrus_fruit,fruit,aroma,,citrus
citrus,citrus,citrus_fruit,fruit,aroma,,citrus
citrusi,citrus,citrus_fruit,fruit,aroma,,citrus
lemon_lime,citrus,citrus_fruit,fruit,aroma,,citrus
lemonlim,citrus,citrus_fruit,fruit,aroma,,citrus
lemonlim_acid,citrus_acid,high_acid,acid,nonaroma,acid,high_acid
citrus_peel,citrus_peel,citrus_fruit,fruit,aroma,,citrus_peel
citrus_rind,citrus_peel,citrus_fruit,fruit,aroma,,citrus_peel
citrus_zest,citrus_peel,citrus_fruit,fruit,aroma,,citrus_peel
citrus_pith,citrus_pith,citrus_fruit,fruit,aroma,,citrus_pith
clampi,clampy,full_bodied,body,nonaroma,weight,full_bodied
classi,classy,low_tannin,tannin,nonaroma,bitter,low_tannin
clay,clay,rocks,earth_inorganic,aroma,,clay
clean,clean,high_acid,acid,nonaroma,acid,high_acid
close,closed,high_complexity,complexity,nonaroma,,closed
compact,closed,high_tannin,tannin,nonaroma,bitter,high_tannin
closegrain_tannin,close-grained_tannin,low_tannin,tannin,nonaroma,bitter,low_tannin
clove,clove,baking_spices,spice,aroma,,clove
clove_cinnamon,clove_cinnamon,baking_spices,spice,aroma,,clove_cinnamon
cloy,cloying,very_sweet,sweetness,nonaroma,sweet,very_sweet
coars,coarse,high_tannin,tannin,nonaroma,bitter,high_tannin
cocoa,cocoa,chocolate,caramel,aroma,,cocoa
cocoa_powder,cocoa,chocolate,caramel,aroma,,cocoa
dust_cocoa,cocoa,chocolate,caramel,aroma,,cocoa
coconut,coconut,resinous,woody,aroma,,coconut
coffe,coffee,toasted,woody,aroma,,coffee
coffe_bean,coffee,toasted,woody,aroma,,coffee
coffe_ground,coffee,toasted,woody,aroma,,coffee
coffe_mocha,coffee,toasted,woody,aroma,,coffee
espresso,coffee,toasted,woody,aroma,,coffee
licoric_espresso,coffee,toasted,woody,aroma,,coffee
mocha,coffee,toasted,woody,aroma,,coffee
roast_coffe,coffee,toasted,woody,aroma,,coffee
cola,cola,baking_spices,spice,aroma,,cola
streak_cola,cola,baking_spices,spice,aroma,,cola
complex,complex,high_complexity,complexity,nonaroma,,complex
complic,complicated,high_complexity,complexity,nonaroma,,complicated
compost,compost,soil,earth_organic,aroma,,compost
compot,compote,red_fruit,fruit,aroma,,compote
concentr,concentrated,high_concentration,concentration,nonaroma,,concentrated
deepli_concentr,concentrated,high_concentration,concentration,nonaroma,,concentrated
